,chain,addr,protocol_name,type,addrChecksum,info,token0,token1,symbol
0,bsc,0xba6418100db9b93356bfb6a472411fdcfa2e4141,PancakeSwap,5050_Math,0xba6418100dB9B93356bFB6A472411FDCfa2e4141,"('0xba6418100dB9B93356bFB6A472411FDCfa2e4141', '0x3A4C15F96B3b058ab3Fb5FAf1440Cc19E7AE07ce', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56', 15056439141897652627471546, 27148723498183104282464, 620909989858754187114581, 0, 'Cake-LP')",0x3A4C15F96B3b058ab3Fb5FAf1440Cc19E7AE07ce,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,Cake-LP
1,bsc,0x24a179508d279f2b4c5910c2a4c1371e25507331,PancakeSwap,5050_Math,0x24A179508d279F2B4c5910C2a4c1371E25507331,"('0x24A179508d279F2B4c5910C2a4c1371E25507331', '0x78bc77085CB3c3D6749a8Ea467f27b5f211BF3b3', '0x836DFA73F5565Bcf54e56751aCA095b03c0b7AAd', 9987371750224055783659849210, 78990000230139914262503505, 888200427831466426613564092, 0, 'Cake-LP')",0x78bc77085CB3c3D6749a8Ea467f27b5f211BF3b3,0x836DFA73F5565Bcf54e56751aCA095b03c0b7AAd,Cake-LP
2,bsc,0x0ed7e52944161450477ee417de9cd3a859b14fd0,PancakeSwap,5050_Math,0x0eD7e52944161450477ee417DE9Cd3a859b14fD0,"('0x0eD7e52944161450477ee417DE9Cd3a859b14fD0', '0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', 21002548347792300207141164, 250121774870670442586661, 2161998914969449989716032, 0, 'Cake-LP')",0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Cake-LP
3,bsc,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,PancakeSwap,5050_Math,0x16b9a82891338f9bA80E2D6970FddA79D1eb0daE,"('0x16b9a82891338f9bA80E2D6970FddA79D1eb0daE', '0x55d398326f99059fF775485246999027B3197955', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', 82139070962983317274043625, 265165527506941587513731, 3186839310929492085782073, 0, 'Cake-LP')",0x55d398326f99059fF775485246999027B3197955,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Cake-LP
4,bsc,0x58f876857a02d6762e0101bb5c46a8c1ed44dc16,PancakeSwap,5050_Math,0x58F876857a02D6762E0101bb5C46A8c1ED44Dc16,"('0x58F876857a02D6762E0101bb5C46A8c1ED44Dc16', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56', 232267024962754691477557, 72065964540533903198110916, 2976771343847567683329183, 0, 'Cake-LP')",0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,Cake-LP
5,bsc,0x59ff7c19c5750588a0435e9c8e11502bf97962a1,PancakeSwap,5050_Math,0x59fF7C19C5750588a0435e9C8E11502Bf97962A1,"('0x59fF7C19C5750588a0435e9C8E11502Bf97962A1', '0x8D3437e683004bD36BF21D4d075cC10165A863E8', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56', 146670, 1296483082159, 36608173126136, 0, 'Cake-LP')",0x8D3437e683004bD36BF21D4d075cC10165A863E8,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,Cake-LP
6,bsc,0x74e4716e431f45807dcf19f284c7aa99f18a4fbc,PancakeSwap,5050_Math,0x74E4716E431f45807DCF19f284c7aA99F18a4fbc,"('0x74E4716E431f45807DCF19f284c7aA99F18a4fbc', '0x2170Ed0880ac9A755fd29B2688956BD959F933F8', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', 10723879171495233838514, 62790101415504272542463, 22912632614084558096741, 0, 'Cake-LP')",0x2170Ed0880ac9A755fd29B2688956BD959F933F8,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Cake-LP
7,bsc,0x61eb789d75a95caa3ff50ed7e47b96c132fec082,PancakeSwap,5050_Math,0x61EB789d75A95CAa3fF50ed7E47b96c132fEc082,"('0x61EB789d75A95CAa3fF50ed7E47b96c132fEc082', '0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', 749408996125328346923, 67700851580351359789686, 6504797696738432850685, 0, 'Cake-LP')",0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Cake-LP
8,bsc,0x7efaef62fddcca950418312c6c91aef321375a00,PancakeSwap,5050_Math,0x7EFaEf62fDdCCa950418312c6C91Aef321375A00,"('0x7EFaEf62fDdCCa950418312c6C91Aef321375A00', '0x55d398326f99059fF775485246999027B3197955', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56', 35776919596836723171951412, 35728509872774215462785785, 32191039012363558273800761, 0, 'Cake-LP')",0x55d398326f99059fF775485246999027B3197955,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,Cake-LP
9,bsc,0x2354ef4df11afacb85a5c7f98b624072eccddbb1,PancakeSwap,5050_Math,0x2354ef4DF11afacb85a5C7f98B624072ECcddbB1,"('0x2354ef4DF11afacb85a5C7f98B624072ECcddbB1', '0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56', 21517188688006652010915381, 21517605905372433806697299, 20211496588519683659635950, 0, 'Cake-LP')",0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,Cake-LP
