chain,addr,protocol_name,type,addrChecksum
bsc,0xba6418100db9b93356bfb6a472411fdcfa2e4141,PancakeSwap,5050_Math,0xba6418100dB9B93356bFB6A472411FDCfa2e4141
bsc,0x24a179508d279f2b4c5910c2a4c1371e25507331,PancakeSwap,5050_Math,0x24A179508d279F2B4c5910C2a4c1371E25507331
bsc,0x0ed7e52944161450477ee417de9cd3a859b14fd0,PancakeSwap,5050_Math,0x0eD7e52944161450477ee417DE9Cd3a859b14fD0
bsc,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,PancakeSwap,5050_Math,0x16b9a82891338f9bA80E2D6970FddA79D1eb0daE
bsc,0x58f876857a02d6762e0101bb5c46a8c1ed44dc16,PancakeSwap,5050_Math,0x58F876857a02D6762E0101bb5C46A8c1ED44Dc16
bsc,0x59ff7c19c5750588a0435e9c8e11502bf97962a1,PancakeSwap,5050_Math,0x59fF7C19C5750588a0435e9C8E11502Bf97962A1
bsc,0x74e4716e431f45807dcf19f284c7aa99f18a4fbc,PancakeSwap,5050_Math,0x74E4716E431f45807DCF19f284c7aA99F18a4fbc
bsc,0x61eb789d75a95caa3ff50ed7e47b96c132fec082,PancakeSwap,5050_Math,0x61EB789d75A95CAa3fF50ed7E47b96c132fEc082
bsc,0x7efaef62fddcca950418312c6c91aef321375a00,PancakeSwap,5050_Math,0x7EFaEf62fDdCCa950418312c6C91Aef321375A00
bsc,0x2354ef4df11afacb85a5c7f98b624072eccddbb1,PancakeSwap,5050_Math,0x2354ef4DF11afacb85a5C7f98B624072ECcddbB1
bsc,0x169f653a54acd441ab34b73da9946e2c451787ef,PancakeSwap,Curve_V1_Stable_Math,0x169F653A54ACD441aB34B73dA9946e2C451787EF
bsc,0xd171b26e4484402de70e3ea256be5a2630d7e88d,PancakeSwap,5050_Math,0xD171B26E4484402de70e3Ea256bE5A2630d7e88D
bsc,0xf45cd219aef8618a92baa7ad848364a158a24f33,PancakeSwap,5050_Math,0xF45cd219aEF8618A92BAa7aD848364a158a24F33
bsc,0x6216e04cd40db2c6fbed64f1b5830a98d3a91740,Biswap,5050_Math,0x6216E04cd40DB2c6FBEd64f1B5830A98D3A91740
bsc,0x2b948b5d3ebe9f463b29280fc03ebcb82db1072f,PancakeSwap,5050_Math,0x2B948B5D3EBe9F463B29280FC03eBcB82db1072F
bsc,0x37d2cb2fe24e940b74e918c6241bc9a7bc677b84,PancakeSwap,5050_Math,0x37d2cB2FE24E940b74E918c6241bc9a7bC677B84
bsc,0xc2f5b9a3d9138ab2b74d581fc11346219ebf43fe,PancakeSwap,Curve_V1_Stable_Math,0xc2F5B9a3d9138ab2B74d581fC11346219eBf43Fe
bsc,0x1cea83ec5e48d9157fcae27a19807bef79195ce1,PancakeSwap,5050_Math,0x1CEa83EC5E48D9157fCAe27a19807BeF79195Ce1
bsc,0xacaac9311b0096e04dfe96b6d87dec867d3883dc,Biswap,5050_Math,0xaCAac9311b0096E04Dfe96b6D87dec867d3883Dc
bsc,0x11e82e2997a05c478c3348376fdb493671e2f935,W3Swap,err_cannot_get_abi,0x11e82E2997a05c478C3348376FDb493671e2F935
bsc,0xe2f12e4e2996df4a9fa94d0c1c8345f43a4bb092,PancakeSwap,5050_Math,0xe2F12e4e2996dF4a9FA94D0C1C8345F43a4bB092
bsc,0x8840c6252e2e86e545defb6da98b2a0e26d8c1ba,Biswap,5050_Math,0x8840C6252e2e86e545deFb6da98B2a0E26d8C1BA
bsc,0x8fa59693458289914db0097f5f366d771b7a7c3f,PancakeSwap,5050_Math,0x8FA59693458289914dB0097F5F366d771B7a7C3F
bsc,0x0536c8b0c3685b6e3c62a7b5c4e8b83f938f12d1,BabyDogeSwap,5050_Math,0x0536c8b0c3685b6e3C62A7b5c4E8b83f938f12D1
bsc,0x483653bcf3a10d9a1c334ce16a19471a614f4385,Thena,5050_Math,0x483653bcF3a10d9a1c334CE16a19471a614F4385
bsc,0xc736ca3d9b1e90af4230bd8f9626528b3d4e0ee0,PancakeSwap,5050_Math,0xc736cA3d9b1E90Af4230BD8F9626528B3D4e0Ee0
bsc,0x647bc907d520c3f63be38d01dbd979f5606bec48,PancakeSwap,5050_Math,0x647bc907d520C3f63bE38d01DBd979f5606beC48
bsc,0x5bf6941f029424674bb93a43b79fc46bf4a67c21,Biswap,5050_Math,0x5bf6941f029424674bb93A43b79fc46bF4A67c21
bsc,0x8e0301e3bde2397449fef72703e71284d0d149f1,SafeMoon Swap,err_cannot_get_abi,0x8e0301E3bDE2397449FeF72703E71284d0d149F1
bsc,0x3efebc418efb585248a0d2140cfb87afcc2c63dd,PancakeSwap,Curve_V1_Stable_Math,0x3EFebC418efB585248A0D2140cfb87aFcc2C63DD
bsc,0xed1c8b6b8b061fbb01396280b841d8fc1e046f21,PancakeSwap,5050_Math,0xED1c8B6b8b061fBB01396280b841d8fc1e046F21
bsc,0x1d168c5b5dea1c6da0e9fd9bf4b7607e4e9d8eec,Thena,5050_Math,0x1d168C5b5DEa1c6dA0E9FD9bf4B7607e4e9D8EeC
bsc,0x618f9eb0e1a698409621f4f487b563529f003643,Thena,5050_Math,0x618f9Eb0E1a698409621f4F487B563529f003643
bsc,0xe267018c943e77992e7e515724b07b9ce7938124,PancakeSwap,5050_Math,0xe267018C943E77992e7e515724B07b9CE7938124
bsc,0xd79b5de2ffbd063fbbb579b76151d95d4372b0df,PancakeSwap,5050_Math,0xD79B5de2FfBD063FbbB579b76151d95d4372b0dF
bsc,0xea26b78255df2bbc31c1ebf60010d78670185bd0,PancakeSwap,5050_Math,0xEa26B78255Df2bBC31C1eBf60010D78670185bD0
